A1CF	rep2_peak_4778 (+2911)
A2M	rep2_peak_8232 (-19930), rep2_peak_8231 (-16182), rep2_peak_8230 (-6218), rep2_peak_8229 (+157), rep2_peak_8228 (+2026)
A3GALT2	rep2_peak_946 (-26224), rep2_peak_945 (-21358), rep2_peak_944 (-13194)
AADAC	rep2_peak_28779 (+2425)
AADACL4	rep2_peak_380 (-25401), rep2_peak_382 (+10271)
AAED1	rep2_peak_40864 (+10952)
AAMDC	rep2_peak_7382 (-247)
AARS2	rep2_peak_34571 (-4042)
AARSD1	rep2_peak_16353 (-9348)
ABAT	rep2_peak_13657 (-14802), rep2_peak_13659 (+28085)
ABCA1	rep2_peak_40971 (+1587), rep2_peak_40969 (+15564), rep2_peak_40968 (+28281)
ABCA13	rep2_peak_36903 (-27007)
ABCA4	rep2_peak_1861 (-4943), rep2_peak_1860 (+4532)
ABCA9	rep2_peak_17164 (-11894), rep2_peak_17162 (+13323)
ABCB4	rep2_peak_37314 (-22019), rep2_peak_37312 (+10337), rep2_peak_37311 (+11509)
ABCB6	rep2_peak_23594 (+10483)
ABCC1	rep2_peak_13898 (+2849)
ABCC10	rep2_peak_34496 (+9219)
ABCC11	rep2_peak_14379 (+2952), rep2_peak_14376 (+27535)
ABCC12	rep2_peak_14370 (-18731)
ABCC2	rep2_peak_5535 (-124)
ABCC4	rep2_peak_10614 (+25975)
ABCC6	rep2_peak_13903 (+9393), rep2_peak_13902 (+16916)
ABCD1	rep2_peak_42689 (+6387)
ABCD3	rep2_peak_1874 (-291), rep2_peak_1876 (+7514)
ABCF1	rep2_peak_34091 (-919)
ABCG8	rep2_peak_21089 (+3711)
ABHD12	rep2_peak_24513 (+12439)
ABHD14B	rep2_peak_27624 (-67)
ABHD17A	rep2_peak_18720 (-12258), rep2_peak_18718 (+13999)
ABHD3	rep2_peak_18042 (+19968)
ABHD5	rep2_peak_27406 (+18365)
ABHD6	rep2_peak_27787 (-14917)
ABLIM1	rep2_peak_5828 (-7300)
ABLIM3	rep2_peak_32875 (+10910), rep2_peak_32877 (+19628)
ABRAXAS1	rep2_peak_30367 (-1541)
ABTB2	rep2_peak_6521 (+12592), rep2_peak_6520 (+18557)
ACAA1	rep2_peak_27293 (+3464)
ACAA2	rep2_peak_18341 (-18423), rep2_peak_18338 (+13264)
ACADM	rep2_peak_1656 (+1326)
ACE	rep2_peak_16971 (-14412)
ACKR2	rep2_peak_27389 (+19782)
ACOT12	rep2_peak_32062 (+22455)
ACOT7	rep2_peak_169 (-27267)
ACOX1	rep2_peak_17380 (+57)
ACOX2	rep2_peak_27815 (-20421), rep2_peak_27811 (+1266)
ACSF2	rep2_peak_16635 (+2821)
ACSL1	rep2_peak_31113 (-11689), rep2_peak_31109 (+13327), rep2_peak_31108 (+18644)
ACSL3	rep2_peak_23637 (+7), rep2_peak_23638 (+10543)
ACSL4	rep2_peak_42403 (-6837)
ACSL5	rep2_peak_5754 (-2148), rep2_peak_5759 (+15363), rep2_peak_5760 (+18505)
ACSL6	rep2_peak_32491 (+8236), rep2_peak_32490 (+9712), rep2_peak_32489 (+14707)
ACSM1	rep2_peak_13994 (-6585), rep2_peak_13992 (+16943)
ACSM2A	rep2_peak_13981 (-24803)
ACSM2B	rep2_peak_13991 (-22607), rep2_peak_13990 (-20427)
ACSM5	rep2_peak_13981 (+17239)
ACSS1	rep2_peak_24497 (+25383)
ACSS3	rep2_peak_9153 (+9331)
ACTL7A	rep2_peak_41032 (+23798)
ACTN1	rep2_peak_11566 (+4953), rep2_peak_11565 (+23706)
ACTN4	rep2_peak_19601 (+8987)
ACTR3	rep2_peak_22282 (-13231), rep2_peak_22283 (-70)
ACVR2A	rep2_peak_22588 (+7252)
ACY1	rep2_peak_27624 (+198)
ACYP2	rep2_peak_21252 (+129)
ADAM2	rep2_peak_38892 (-14636)
ADAM21	rep2_peak_11612 (-3326)
ADAM23	rep2_peak_23369 (-7525)
ADAM28	rep2_peak_38651 (-39)
ADAM8	rep2_peak_6030 (-1337)
ADAMDEC1	rep2_peak_38652 (-12919)
ADAMTS10	rep2_peak_19001 (-23328)
ADAMTS16	rep2_peak_31232 (-4169)
ADAMTSL4	rep2_peak_2448 (+18977)
ADAMTSL5	rep2_peak_18706 (+14493)
ADAP1	rep2_peak_36213 (-17467), rep2_peak_36209 (+28830)
ADAP2	rep2_peak_16011 (-5437)
ADAT2	rep2_peak_35692 (-91)
ADCY9	rep2_peak_13588 (+6738), rep2_peak_13587 (+21880)
ADD1	rep2_peak_29593 (+17278)
ADGRD2	rep2_peak_41363 (-20390)
ADGRE5	rep2_peak_19199 (-27938)
ADGRG1	rep2_peak_14592 (+4485)
ADGRG6	rep2_peak_35655 (-22238), rep2_peak_35656 (-16273), rep2_peak_35658 (-4480), rep2_peak_35659 (-3698), rep2_peak_35660 (+36), rep2_peak_35663 (+29356)
ADH4	rep2_peak_30473 (-13387)
ADIG	rep2_peak_24831 (+4436)
ADIPOQ	rep2_peak_29229 (+18324)
ADIPOR2	rep2_peak_8092 (-22057)
ADM	rep2_peak_6242 (+21531)
ADO	rep2_peak_4886 (-20111)
ADORA2A	rep2_peak_26069 (-11915)
ADRA1D	rep2_peak_24149 (+26547)
ADRA2C	rep2_peak_29623 (+18422)
ADRM1	rep2_peak_25314 (-49), rep2_peak_25315 (+696)
AFAP1	rep2_peak_29728 (+15599)
AFDN	rep2_peak_36130 (-21146)
AFF4	rep2_peak_32531 (+19)
AFMID	rep2_peak_17511 (+712)
AFP	rep2_peak_30231 (-5780), rep2_peak_30232 (-3842)
AFTPH	rep2_peak_21422 (-12909), rep2_peak_21423 (-7519)
AGAP1	rep2_peak_23859 (+11263)
AGAP9	rep2_peak_4723 (-14076)
AGBL2	rep2_peak_6671 (-8848)
AGBL3	rep2_peak_37981 (+11101)
AGFG1	rep2_peak_23709 (-17410)
AGFG2	rep2_peak_37571 (+29168)
