A1BG	rep2_peak_20236 (-82)
A1CF	rep2_peak_4779 (+33), rep2_peak_4778 (+2911)
A2M	rep2_peak_8232 (-19930), rep2_peak_8231 (-16182), rep2_peak_8230 (-6218), rep2_peak_8229 (+157), rep2_peak_8228 (+2026), rep2_peak_8227 (+7529), rep2_peak_8226 (+9042)
A3GALT2	rep2_peak_947 (-29044), rep2_peak_946 (-26224), rep2_peak_945 (-21358), rep2_peak_944 (-13194)
A4GALT	rep2_peak_26607 (+6516)
AAAS	rep2_peak_8785 (-3279), rep2_peak_8784 (+55)
AACS	rep2_peak_9905 (-186), rep2_peak_9906 (+27612)
AADAC	rep2_peak_28779 (+2425), rep2_peak_28780 (+3617)
AADACL2	rep2_peak_28776 (-3486)
AADACL4	rep2_peak_380 (-25401), rep2_peak_381 (-24579), rep2_peak_382 (+10271)
AADAT	rep2_peak_31022 (-12449), rep2_peak_31021 (-18)
AAED1	rep2_peak_40865 (-287), rep2_peak_40864 (+10952)
AAGAB	rep2_peak_12827 (-19)
AAK1	rep2_peak_21537 (-156), rep2_peak_21536 (+867)
AAMDC	rep2_peak_7382 (-247)
AAMP	rep2_peak_23533 (-267)
AAR2	rep2_peak_24757 (-69)
AARS	rep2_peak_14820 (+133)
AARS2	rep2_peak_34571 (-4042), rep2_peak_34570 (-37)
AARSD1	rep2_peak_16354 (-10997), rep2_peak_16353 (-9348)
AASDH	rep2_peak_30106 (+140)
AASDHPPT	rep2_peak_7640 (-383), rep2_peak_7641 (+238)
AASS	rep2_peak_37828 (-10615)
AATF	rep2_peak_16090 (-16)
AATK	rep2_peak_17634 (-6102), rep2_peak_17633 (+166)
AATK-AS1	rep2_peak_17633 (+344)
ABAT	rep2_peak_13656 (-18498), rep2_peak_13657 (-14802), rep2_peak_13658 (+12683), rep2_peak_13659 (+28085)
ABCA1	rep2_peak_40973 (+36), rep2_peak_40972 (+745), rep2_peak_40971 (+1587), rep2_peak_40970 (+5326), rep2_peak_40969 (+15564), rep2_peak_40968 (+28281)
ABCA10	rep2_peak_17169 (-23980), rep2_peak_17168 (+9230), rep2_peak_17167 (+20802)
ABCA13	rep2_peak_36903 (-27007), rep2_peak_36904 (-16526)
ABCA3	rep2_peak_13514 (-325), rep2_peak_13513 (+574), rep2_peak_13512 (+946)
ABCA4	rep2_peak_1862 (-22840), rep2_peak_1861 (-4943), rep2_peak_1860 (+4532), rep2_peak_1859 (+5430)
ABCA5	rep2_peak_17170 (-310)
ABCA6	rep2_peak_17165 (-12614)
ABCA7	rep2_peak_18666 (+11093)
ABCA9	rep2_peak_17164 (-11894), rep2_peak_17163 (+9893), rep2_peak_17162 (+13323)
ABCB1	rep2_peak_37321 (-28001), rep2_peak_37320 (-27080), rep2_peak_37319 (+217), rep2_peak_37318 (+1594)
ABCB10	rep2_peak_3796 (-288)
ABCB4	rep2_peak_37314 (-22019), rep2_peak_37313 (+157), rep2_peak_37312 (+10337), rep2_peak_37311 (+11509)
ABCB6	rep2_peak_23595 (+5), rep2_peak_23594 (+10483)
ABCB7	rep2_peak_42302 (+56)
ABCB8	rep2_peak_38214 (+213)
ABCB9	rep2_peak_9829 (-3147)
ABCC1	rep2_peak_13896 (-21053), rep2_peak_13897 (-3139), rep2_peak_13898 (+2849)
ABCC10	rep2_peak_34494 (-1700), rep2_peak_34495 (+49), rep2_peak_34496 (+9219), rep2_peak_34497 (+27217)
ABCC11	rep2_peak_14380 (-3556), rep2_peak_14379 (+2952), rep2_peak_14378 (+16328), rep2_peak_14377 (+26806), rep2_peak_14376 (+27535)
ABCC12	rep2_peak_14372 (-26113), rep2_peak_14371 (-19540), rep2_peak_14370 (-18731)
ABCC2	rep2_peak_5532 (-27857), rep2_peak_5533 (-12109), rep2_peak_5534 (-754), rep2_peak_5535 (-124)
ABCC3	rep2_peak_16644 (-6565), rep2_peak_16645 (-128), rep2_peak_16646 (+1606), rep2_peak_16647 (+5998), rep2_peak_16648 (+8064), rep2_peak_16649 (+10589), rep2_peak_16650 (+22441), rep2_peak_16651 (+25560), rep2_peak_16652 (+27121)
ABCC4	rep2_peak_10616 (-13174), rep2_peak_10615 (+3630), rep2_peak_10614 (+25975)
ABCC5	rep2_peak_29136 (-192), rep2_peak_29135 (+29556)
ABCC6	rep2_peak_13904 (-101), rep2_peak_13903 (+9393), rep2_peak_13902 (+16916)
ABCD1	rep2_peak_42687 (+59), rep2_peak_42688 (+1850), rep2_peak_42689 (+6387)
ABCD3	rep2_peak_1873 (-907), rep2_peak_1874 (-291), rep2_peak_1875 (+53), rep2_peak_1876 (+7514), rep2_peak_1877 (+8238), rep2_peak_1878 (+10691)
ABCD4	rep2_peak_11681 (-23636), rep2_peak_11680 (+200)
